"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0,0,0.050345,0.021577,0.021577,0.013806,0,0,0.074799,0,0,0.071793,0,0,0,0.055899,0.016023,0.021577,21.913,0.031166,0.03741,2.4903e-06,0,0,0
0.002992,0.0028717,0.036356,0.0022882,0.011593,0.0054306,0,0,0.064384,-0.024193,0,0.028239,0,0,0,0.037201,0.0014435,0.011593,8.8413,0.016746,0.031917,1.1183e-06,0.04,0,0
0.0051507,0.0044428,0.027852,0.00077416,0.0085878,0.0014877,0,0,0.050086,-0.020315,0,0.0077358,0,0,0,0.027933,0.00069267,0.0085878,3.1353,0.012405,0.024276,4.813e-07,0.08,0,0
0.0069989,0.0056274,0.024625,-0.0003125,0.0072937,0.00068176,0,0,0.045061,-0.019776,0,0.0035452,0,0,0,0.024643,-0.00033112,0.0072937,1.5649,0.010535,0.022169,3.4458e-07,0.12,0,0
0.0087556,0.0064865,0.023826,-0.00037696,0.0070346,0.00022445,0,0,0.043657,-0.01927,0,0.0011671,0,0,0,0.023828,-0.00037904,0.0070346,0.53129,0.010161,0.021482,3.1227e-07,0.16,0,0
0.010491,0.0071256,0.023773,-0.00037404,0.0070197,1.909e-05,0,0,0.043559,-0.019224,0,9.927e-05,0,0,0,0.023773,-0.00037406,0.0070197,0.045297,0.01014,0.021429,3.1007e-07,0.2,0,0
0.01224,0.0076075,0.02406,-0.00032592,0.0071201,-7.6658e-05,0,0,0.044043,-0.01936,0,-0.00039862,0,0,0,0.02406,-0.00032616,0.0071201,-0.18011,0.010285,0.021646,3.2071e-07,0.24,0,0
0.014015,0.0079806,0.024445,-0.0002741,0.0072514,-0.00010752,0,0,0.044704,-0.019566,0,-0.0005591,0,0,0,0.024446,-0.00027456,0.0072514,-0.24921,0.010474,0.021948,3.3558e-07,0.28,0,0
0.015817,0.008278,0.024817,-0.00022503,0.0073776,-0.00010762,0,0,0.045343,-0.019767,0,-0.00055962,0,0,0,0.024817,-0.00022549,0.0073776,-0.24622,0.010656,0.022239,3.5034e-07,0.32,0,0
0.017642,0.0085197,0.025136,-0.00018302,0.0074858,-0.00010029,0,0,0.045889,-0.019939,0,-0.00052149,0,0,0,0.025136,-0.00018342,0.0074858,-0.22694,0.010813,0.022488,3.6332e-07,0.36,0,0
0.019488,0.0087154,0.025413,-0.00014985,0.0075788,-0.00010001,0,0,0.046368,-0.020095,0,-0.00052004,0,0,0,0.025413,-0.00015024,0.0075788,-0.22415,0.010947,0.022708,3.7493e-07,0.4,0,0
0.021352,0.0088681,0.025686,-0.00012589,0.0076679,-0.00011178,0,0,0.046846,-0.020264,0,-0.00058124,0,0,0,0.025686,-0.00012637,0.0076679,-0.24811,0.011076,0.022931,3.8674e-07,0.44,0,0
0.023235,0.0089782,0.025993,-0.00010963,0.007765,-0.00013289,0,0,0.047393,-0.020474,0,-0.00069102,0,0,0,0.025994,-0.00011031,0.007765,-0.29168,0.011216,0.023192,4.0052e-07,0.48,0,0
0.025143,0.009047,0.026358,-9.8218e-05,0.007878,-0.00015623,0,0,0.048048,-0.020738,0,-0.00081239,0,0,0,0.026359,-9.9141e-05,0.007878,-0.33833,0.011379,0.023508,4.1742e-07,0.52,0,0
0.027079,0.0090782,0.02678,-8.8483e-05,0.0080076,-0.00017415,0,0,0.048809,-0.02105,0,-0.00090557,0,0,0,0.026782,-8.9611e-05,0.0080076,-0.37134,0.011567,0.023876,4.3763e-07,0.56,0,0
0.029048,0.0090787,0.02724,-7.8154e-05,0.0081485,-0.00018116,0,0,0.049638,-0.021389,0,-0.00094203,0,0,0,0.027241,-7.9355e-05,0.0081485,-0.37993,0.01177,0.024276,4.6034e-07,0.6,0,0
0.03105,0.009057,0.027704,-6.6303e-05,0.0082913,-0.00017519,0,0,0.050473,-0.02173,0,-0.00091098,0,0,0,0.027705,-6.7409e-05,0.0082913,-0.36143,0.011976,0.024679,4.8401e-07,0.64,0,0
0.033086,0.0090225,0.028138,-5.3226e-05,0.0084254,-0.0001574,0,0,0.051253,-0.022045,0,-0.00081849,0,0,0,0.028139,-5.4105e-05,0.0084254,-0.31989,0.01217,0.025054,5.0683e-07,0.68,0,0
0.035151,0.0089834,0.028514,-3.9898e-05,0.0085421,-0.00013127,0,0,0.051926,-0.022313,0,-0.00068258,0,0,0,0.028514,-4.0502e-05,0.0085421,-0.26339,0.012339,0.025376,5.271e-07,0.72,0,0
0.03724,0.0089463,0.028814,-2.7461e-05,0.0086359,-0.00010129,0,0,0.052462,-0.022525,0,-0.00052671,0,0,0,0.028814,-2.7817e-05,0.0086359,-0.20122,0.012474,0.025633,5.4363e-07,0.76,0,0
0.039348,0.0089152,0.029034,-1.6821e-05,0.008705,-7.1874e-05,0,0,0.052854,-0.022677,0,-0.00037374,0,0,0,0.029034,-1.6998e-05,0.008705,-0.14175,0.012574,0.025819,5.5594e-07,0.8,0,0
0.041468,0.0088919,0.02918,-8.4675e-06,0.0087514,-4.6436e-05,0,0,0.053114,-0.022776,0,-0.00024147,0,0,0,0.02918,-8.5414e-06,0.0087514,-0.091152,0.012641,0.025943,5.642e-07,0.84,0,0
0.043597,0.0088762,0.029267,-2.4683e-06,0.0087793,-2.6913e-05,0,0,0.053268,-0.022833,0,-0.00013995,0,0,0,0.029267,-2.493e-06,0.0087793,-0.052683,0.012681,0.026015,5.6914e-07,0.88,0,0
0.045729,0.0088668,0.029312,1.4141e-06,0.008794,-1.3618e-05,0,0,0.053347,-0.022861,0,-7.0813e-05,0,0,0,0.029312,1.4078e-06,0.008794,-0.02662,0.012703,0.026052,5.717e-07,0.92,0,0
0.047864,0.008862,0.029332,3.5391e-06,0.0088006,-5.3958e-06,0,0,0.053381,-0.022872,0,-2.8058e-05,0,0,0,0.029332,3.5381e-06,0.0088006,-0.010541,0.012712,0.026068,5.728e-07,0.96,0,0
0.05,0.0088606,0.029337,4.2088e-06,0.0088023,-6.8598e-06,0,0,0.05339,-0.022875,0,-3.5671e-05,0,0,0,0.029337,4.2072e-06,0.0088023,-0.013399,0.012714,0.026072,5.7308e-07,1,0,0
0,0,0.031973,0.013703,0.013703,0.0091537,0,0,0.047503,2.1684e-18,0,0.047599,0,0,0,0.03577,0.0099059,0.013703,22.529,0.019793,0.024191,6.6706e-07,0,0.04,0
0.0019001,0.001904,0.029344,0.0030477,0.0097175,0.0056166,0,0,0.051028,-0.017341,0,0.029206,0,0,0,0.030493,0.0018984,0.0097175,11.566,0.014036,0.025597,5.9817e-07,0.04,0.04,0
0.0040823,0.0036301,0.029983,0.0023532,0.0097008,0.0032365,0,0,0.052733,-0.019104,0,0.01683,0,0,0,0.030357,0.0019792,0.0097008,6.5927,0.014012,0.025412,5.8794e-07,0.08,0.04,0
0.0061188,0.0048364,0.027814,0.0012618,0.0087226,0.0014893,0,0,0.049637,-0.019398,0,0.0077441,0,0,0,0.027897,0.0011785,0.0087226,3.2003,0.012599,0.023858,4.6962e-07,0.12,0.04,0
0.0080532,0.0057157,0.02651,0.00070039,0.0081631,0.00061754,0,0,0.047702,-0.019403,0,0.0032112,0,0,0,0.026525,0.00068562,0.0081631,1.3699,0.011791,0.023029,4.116e-07,0.16,0.04,0
0.0099349,0.0063566,0.025868,0.00036389,0.0078695,0.00014056,0,0,0.046795,-0.019515,0,0.00073091,0,0,0,0.025868,0.00036312,0.0078695,0.31577,0.011367,0.022703,3.8697e-07,0.2,0.04,0
0.011797,0.0068331,0.025634,0.00015904,0.0077378,-9.2941e-05,0,0,0.046529,-0.019705,0,-0.00048329,0,0,0,0.025634,0.0001587,0.0077378,-0.20903,0.011177,0.022657,3.7983e-07,0.24,0.04,0
0.013657,0.007198,0.025622,4.4121e-05,0.0076999,-0.00018582,0,0,0.046598,-0.019905,0,-0.00096629,0,0,0,0.025624,4.2771e-05,0.0076999,-0.41622,0.011122,0.022741,3.8124e-07,0.28,0.04,0
0.015525,0.0074873,0.025723,-2.2199e-06,0.0077163,-0.00020717,0,0,0.046818,-0.020068,0,-0.0010773,0,0,0,0.025725,-3.8882e-06,0.0077163,-0.46137,0.011146,0.022868,3.8653e-07,0.32,0.04,0
0.017403,0.0077222,0.02588,-6.3684e-07,0.0077637,-0.00020784,0,0,0.047101,-0.020187,0,-0.0010808,0,0,0,0.025881,-2.3059e-06,0.0077637,-0.4601,0.011214,0.023006,3.9359e-07,0.36,0.04,0
0.019293,0.0079117,0.026071,2.5019e-05,0.0078288,-0.0002191,0,0,0.04743,-0.02029,0,-0.0011393,0,0,0,0.026073,2.3176e-05,0.0078288,-0.48192,0.011308,0.023156,4.0198e-07,0.4,0.04,0
0.021197,0.0080576,0.026297,5.1833e-05,0.0079046,-0.00025222,0,0,0.04782,-0.020417,0,-0.0013116,0,0,0,0.026299,4.941e-05,0.0079046,-0.55056,0.011418,0.023336,4.1211e-07,0.44,0.04,0
0.023118,0.0081592,0.026563,6.4114e-05,0.0079881,-0.00030182,0,0,0.048295,-0.020602,0,-0.0015695,0,0,0,0.026566,6.0677e-05,0.0079881,-0.65249,0.011538,0.023564,4.246e-07,0.48,0.04,0
0.025061,0.0082174,0.026871,5.6529e-05,0.0080782,-0.00035345,0,0,0.048861,-0.020856,0,-0.0018379,0,0,0,0.026875,5.1871e-05,0.0080782,-0.75506,0.011669,0.023846,4.3975e-07,0.52,0.04,0
0.027027,0.0082362,0.027213,3.2345e-05,0.0081736,-0.00039151,0,0,0.049502,-0.021167,0,-0.0020359,0,0,0,0.027218,2.6706e-05,0.0081736,-0.82507,0.011806,0.024171,4.5728e-07,0.56,0.04,0
0.029021,0.0082231,0.027574,-4.8149e-07,0.008272,-0.00040516,0,0,0.050184,-0.021508,0,-0.0021068,0,0,0,0.02758,-6.4333e-06,0.008272,-0.84163,0.011948,0.024518,4.7635e-07,0.6,0.04,0
0.031042,0.0081878,0.027932,-3.3292e-05,0.0083696,-0.00039056,0,0,0.050862,-0.021848,0,-0.0020309,0,0,0,0.027938,-3.8746e-05,0.0083696,-0.79999,0.012089,0.024862,4.9574e-07,0.64,0.04,0
0.03309,0.0081407,0.028267,-5.92e-05,0.0084623,-0.00035062,0,0,0.051492,-0.022156,0,-0.0018232,0,0,0,0.028271,-6.3539e-05,0.0084623,-0.70907,0.012223,0.025179,5.1419e-07,0.68,0.04,0
0.035161,0.0080909,0.02856,-7.4292e-05,0.0085459,-0.00029289,0,0,0.052038,-0.022412,0,-0.001523,0,0,0,0.028563,-7.7288e-05,0.0085459,-0.58598,0.012344,0.025449,5.3056e-07,0.72,0.04,0
0.037253,0.0080453,0.028802,-7.7707e-05,0.0086173,-0.00022706,0,0,0.052481,-0.022607,0,-0.0011807,0,0,0,0.028804,-7.9492e-05,0.0086173,-0.45043,0.012447,0.025665,5.4411e-07,0.76,0.04,0
0.03936,0.0080082,0.028989,-7.1096e-05,0.0086752,-0.00016248,0,0,0.052815,-0.02274,0,-0.00084492,0,0,0,0.028989,-7.2005e-05,0.0086752,-0.32035,0.012531,0.025824,5.5452e-07,0.8,0.04,0
0.041478,0.0079809,0.029122,-5.7764e-05,0.0087194,-0.00010642,0,0,0.053048,-0.022821,0,-0.0005534,0,0,0,0.029123,-5.8152e-05,0.0087194,-0.20896,0.012595,0.025931,5.6192e-07,0.84,0.04,0
0.043604,0.0079629,0.029212,-4.1742e-05,0.0087509,-6.2973e-05,0,0,0.053198,-0.022861,0,-0.00032746,0,0,0,0.029212,-4.1877e-05,0.0087509,-0.12334,0.01264,0.025997,5.6674e-07,0.88,0.04,0
0.045734,0.0079523,0.029266,-2.6978e-05,0.0087716,-3.2782e-05,0,0,0.053284,-0.022876,0,-0.00017047,0,0,0,0.029266,-2.7014e-05,0.0087716,-0.064121,0.01267,0.026033,5.6957e-07,0.92,0.04,0
0.047866,0.0079471,0.029294,-1.6711e-05,0.0087831,-1.3385e-05,0,0,0.053327,-0.02288,0,-6.9603e-05,0,0,0,0.029294,-1.6717e-05,0.0087831,-0.026166,0.012687,0.02605,5.71e-07,0.96,0.04,0
0.05,0.0079456,0.029302,-1.3046e-05,0.0087868,-7.4008e-06,0,0,0.05334,-0.02288,0,-3.8484e-05,0,0,0,0.029302,-1.3048e-05,0.0087868,-0.014464,0.012692,0.026055,5.7142e-07,1,0.04,0
0,0,0.028577,0.012247,0.012247,0.0071366,0,0,0.042457,0,0,0.03711,0,0,0,0.031256,0.009568,0.012247,20.578,0.017691,0.02048,4.1586e-07,0,0.08,0
0.0016983,0.0014844,0.027598,0.007269,0.01046,0.0062873,0,0,0.044559,-0.0082968,0,0.032694,0,0,0,0.029385,0.0054816,0.01046,15.87,0.015109,0.021844,4.4303e-07,0.04,0.08,0
0.0035647,0.0029145,0.027914,0.0036825,0.009479,0.0044377,0,0,0.047931,-0.015071,0,0.023076,0,0,0,0.028701,0.0028954,0.009479,10.058,0.013692,0.023225,4.7335e-07,0.08,0.08,0
0.0055328,0.0040756,0.02797,0.0023204,0.009087,0.0025999,0,0,0.049095,-0.017593,0,0.01352,0,0,0,0.02823,0.0020595,0.009087,5.7301,0.013126,0.02346,4.6807e-07,0.12,0.08,0
0.0074922,0.0049343,0.027378,0.0013875,0.0086298,0.0012587,0,0,0.048746,-0.01883,0,0.0065451,0,0,0,0.027439,0.0013267,0.0086298,2.7661,0.012465,0.023334,4.4355e-07,0.16,0.08,0
0.0094325,0.0055644,0.026896,0.00076975,0.0082997,0.00044421,0,0,0.04835,-0.019578,0,0.0023099,0,0,0,0.026904,0.0007622,0.0082997,0.97379,0.011988,0.023305,4.2826e-07,0.2,0.08,0
0.01136,0.0060311,0.026603,0.00036144,0.0080893,-4.4098e-06,0,0,0.048135,-0.020092,0,-2.2931e-05,0,0,0,0.026603,0.00036144,0.0080893,-0.0096284,0.011685,0.023357,4.2109e-07,0.24,0.08,0
0.013283,0.0063882,0.026467,0.00012308,0.0079771,-0.00021436,0,0,0.048074,-0.020421,0,-0.0011147,0,0,0,0.026469,0.00012134,0.0079771,-0.46617,0.011522,0.023429,4.189e-07,0.28,0.08,0
0.015206,0.0066726,0.02644,2.4055e-05,0.0079392,-0.00029642,0,0,0.048102,-0.020579,0,-0.0015414,0,0,0,0.026443,2.0729e-05,0.0079392,-0.64282,0.011468,0.023487,4.1939e-07,0.32,0.08,0
0.017132,0.0069048,0.026488,2.5962e-05,0.0079542,-0.000336,0,0,0.048188,-0.020613,0,-0.0017472,0,0,0,0.026492,2.1696e-05,0.0079542,-0.72735,0.011489,0.023529,4.2172e-07,0.36,0.08,0
0.019061,0.0070923,0.026598,7.834e-05,0.0080028,-0.00038786,0,0,0.048346,-0.020604,0,-0.0020169,0,0,0,0.026603,7.2669e-05,0.0080028,-0.83775,0.01156,0.023587,4.2616e-07,0.4,0.08,0
0.020999,0.0072347,0.026764,0.00013055,0.0080685,-0.00047065,0,0,0.048609,-0.020639,0,-0.0024474,0,0,0,0.026773,0.00012223,0.0080685,-1.0121,0.011654,0.023699,4.3349e-07,0.44,0.08,0
0.02295,0.00733,0.026987,0.0001494,0.0081408,-0.00057407,0,0,0.048999,-0.020778,0,-0.0029852,0,0,0,0.026999,0.00013712,0.0081408,-1.2249,0.011759,0.023888,4.4432e-07,0.48,0.08,0
0.024919,0.0073785,0.027257,0.00012526,0.0082146,-0.00067234,0,0,0.04951,-0.021032,0,-0.0034962,0,0,0,0.027273,0.00010861,0.0082146,-1.4187,0.011866,0.024154,4.5857e-07,0.52,0.08,0
0.026911,0.0073848,0.027561,6.7336e-05,0.0082884,-0.00073971,0,0,0.050108,-0.021375,0,-0.0038465,0,0,0,0.027581,4.7449e-05,0.0082884,-1.54,0.011972,0.024476,4.754e-07,0.56,0.08,0
0.028928,0.007358,0.027878,-6.7737e-06,0.0083614,-0.00075935,0,0,0.050743,-0.021757,0,-0.0039486,0,0,0,0.027899,-2.7437e-05,0.0083614,-1.5587,0.012078,0.024819,4.9347e-07,0.6,0.08,0
0.03097,0.0073092,0.028188,-7.8583e-05,0.0084328,-0.00072697,0,0,0.051363,-0.02213,0,-0.0037802,0,0,0,0.028207,-9.7267e-05,0.0084328,-1.4723,0.012181,0.025148,5.1133e-07,0.64,0.08,0
0.033037,0.00725,0.028472,-0.00013404,0.0085012,-0.0006494,0,0,0.051923,-0.022452,0,-0.0033769,0,0,0,0.028486,-0.00014877,0.0085012,-1.2998,0.01228,0.025438,5.2767e-07,0.68,0.08,0
0.035124,0.0071904,0.028715,-0.00016537,0.008565,-0.00054104,0,0,0.052391,-0.022699,0,-0.0028134,0,0,0,0.028725,-0.00017551,0.008565,-1.0729,0.012372,0.025672,5.4158e-07,0.72,0.08,0
0.037228,0.0071377,0.028912,-0.00017131,0.0086223,-0.00041939,0,0,0.052754,-0.022863,0,-0.0021808,0,0,0,0.028918,-0.00017736,0.0086223,-0.82599,0.012454,0.025845,5.5258e-07,0.76,0.08,0
0.039344,0.007096,0.029062,-0.00015578,0.0086717,-0.00030102,0,0,0.053013,-0.022951,0,-0.0015653,0,0,0,0.029065,-0.00015888,0.0086717,-0.59021,0.012526,0.02596,5.6062e-07,0.8,0.08,0
0.041469,0.0070663,0.029167,-0.0001261,0.0087123,-0.00019851,0,0,0.053183,-0.02298,0,-0.0010322,0,0,0,0.029168,-0.00012744,0.0087123,-0.38825,0.012585,0.026027,5.66e-07,0.84,0.08,0
0.043599,0.0070473,0.029237,-9.0962e-05,0.0087437,-0.00011883,0,0,0.053282,-0.02297,0,-0.0006179,0,0,0,0.029237,-9.1443e-05,0.0087437,-0.23214,0.01263,0.02606,5.6925e-07,0.88,0.08,0
0.045732,0.0070367,0.029278,-5.882e-05,0.0087658,-6.2866e-05,0,0,0.053332,-0.022944,0,-0.0003269,0,0,0,0.029278,-5.8954e-05,0.0087658,-0.12278,0.012662,0.02607,5.7099e-07,0.92,0.08,0
0.047866,0.0070316,0.0293,-3.6553e-05,0.008779,-2.6102e-05,0,0,0.053354,-0.02292,0,-0.00013573,0,0,0,0.0293,-3.6576e-05,0.008779,-0.05098,0.012681,0.026071,5.7177e-07,0.96,0.08,0
0.05,0.0070302,0.029306,-2.8618e-05,0.0087833,-6.871e-06,0,0,0.05336,-0.022911,0,-3.5729e-05,0,0,0,0.029306,-2.862e-05,0.0087833,-0.01342,0.012687,0.026071,5.7198e-07,1,0.08,0
0,0,0.026943,0.011547,0.011547,0.0059626,0,0,0.040029,-2.1684e-18,0,0.031005,0,0,0,0.028982,0.0095077,0.011547,18.88,0.016679,0.018539,3.1394e-07,0,0.12,0
0.0016012,0.0012402,0.026618,0.0086285,0.010574,0.0054969,0,0,0.041715,-0.0050583,0,0.028584,0,0,0,0.028165,0.0070818,0.010574,15.715,0.015274,0.019572,3.441e-07,0.04,0.12,0
0.0033372,0.0024245,0.027089,0.0058464,0.0098806,0.0044264,0,0,0.044742,-0.010489,0,0.023017,0,0,0,0.027974,0.004961,0.0098806,11.312,0.014272,0.02099,3.8847e-07,0.08,0.12,0
0.0051805,0.003429,0.027368,0.0037497,0.0093353,0.0029465,0,0,0.046885,-0.014523,0,0.015322,0,0,0,0.02773,0.0033876,0.0093353,7.0049,0.013484,0.021981,4.1378e-07,0.12,0.12,0
0.007088,0.0042094,0.027404,0.0023672,0.0089315,0.0016379,0,0,0.04803,-0.017067,0,0.0085173,0,0,0,0.027511,0.0022605,0.0089315,3.7271,0.012901,0.022664,4.2788e-07,0.16,0.12,0
0.0090229,0.0047904,0.027254,0.0013613,0.0085846,0.00070488,0,0,0.04854,-0.018781,0,0.0036654,0,0,0,0.027273,0.0013421,0.0085846,1.5582,0.0124,0.023175,4.3508e-07,0.2,0.12,0
0.010971,0.0052257,0.027099,0.00067132,0.0083312,0.00014067,0,0,0.048797,-0.019916,0,0.00073149,0,0,0,0.0271,0.00067057,0.0083312,0.30496,0.012034,0.023553,4.3953e-07,0.24,0.12,0
0.012927,0.0055643,0.026989,0.00025659,0.0081738,-0.00015676,0,0,0.04892,-0.020585,0,-0.00081512,0,0,0,0.02699,0.00025568,0.0081738,-0.33595,0.011807,0.023785,4.4177e-07,0.28,0.12,0
0.014885,0.005841,0.026934,8.1237e-05,0.0081047,-0.00030001,0,0,0.048957,-0.020861,0,-0.0015601,0,0,0,0.026938,7.7886e-05,0.0081047,-0.64003,0.011707,0.023881,4.4236e-07,0.32,0.12,0
0.016843,0.0060731,0.026938,8.8156e-05,0.0081078,-0.0003939,0,0,0.048958,-0.020851,0,-0.0020483,0,0,0,0.026944,8.2378e-05,0.0081078,-0.84032,0.011711,0.023882,4.4258e-07,0.36,0.12,0
0.018801,0.0062634,0.027005,0.00018504,0.0081569,-0.00050614,0,0,0.049004,-0.020727,0,-0.0026319,0,0,0,0.027014,0.00017549,0.0081569,-1.0808,0.011782,0.02387,4.4438e-07,0.4,0.12,0
0.020764,0.0064065,0.027139,0.00027394,0.0082239,-0.00065779,0,0,0.04918,-0.02067,0,-0.0034205,0,0,0,0.027155,0.00025784,0.0082239,-1.4018,0.011879,0.02393,4.4991e-07,0.44,0.12,0
0.022736,0.006497,0.027342,0.00029389,0.0082906,-0.00082584,0,0,0.049532,-0.020792,0,-0.0042944,0,0,0,0.027367,0.0002687,0.0082906,-1.7472,0.011975,0.02411,4.6034e-07,0.48,0.12,0
0.024726,0.0065349,0.027602,0.00023473,0.0083509,-0.00097243,0,0,0.050052,-0.021102,0,-0.0050566,0,0,0,0.027636,0.00020022,0.0083509,-2.0325,0.012062,0.024404,4.754e-07,0.52,0.12,0
0.02674,0.0065262,0.027897,0.00011672,0.008404,-0.0010632,0,0,0.050681,-0.021547,0,-0.0055285,0,0,0,0.027937,7.6093e-05,0.008404,-2.1885,0.012139,0.02477,4.9354e-07,0.56,0.12,0
0.028781,0.0064825,0.028201,-2.5558e-05,0.0084525,-0.0010801,0,0,0.051345,-0.022043,0,-0.0056164,0,0,0,0.028242,-6.6827e-05,0.0084525,-2.1882,0.012209,0.025155,5.1266e-07,0.6,0.12,0
